account,token,total_internal
0xc6e76a8ca58b58a72116d73256990f6b54edc096,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,622411612861628
0x80b9aa22ccda52f40be998eeb19db4d08fafec3e,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,89650971
0x6d4ed8a1599dee2655d51b245f786293e03d58f7,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,8
0x31deae0ddc9f0d0207d13fc56927f067f493d324,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,29792
0xad63e4d4be2229b080d20311c1402a2e45cf7e75,0xdac17f958d2ee523a2206206994597c13d831ec7,680719
0xb78003fcb54444e289969154a27ca3106b3f41f6,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,721126
0x1477bbce213f0b37b05e3ba0238f45d658d9f8b1,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,843588
0x48e39dfd0450601cb29f74cb43fc913a57fca813,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,212416
0x8e32736429d2f0a39179214c826deef5b8a37861,0xdac17f958d2ee523a2206206994597c13d831ec7,31761
0xcfff6932d4ada56f6f1aedaa61f6947cec95d90a,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1090297
0x463095d9a9a5a3e6776b2cd889b053998fc28fb4,0xdac17f958d2ee523a2206206994597c13d831ec7,13468
0xc3853c3a8fc9c454f59c9aed2fc6cfa1a41eb20e,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,459222953405
0x7003d82d2a6f07f07fc0d140e39ebb464024c91b,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,769910
0x4c180462a051ab67d8237ede2c987590df2fbbe6,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,119878009
0x32a0d4eb7f312916473ea9bafb8db6b6f1b4c32e,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,684500316
0xd2d038f866ef6441e598e0f685f885693ef59917,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,6848127
0x3800645f556ee583e20d6491c3a60e9c32744376,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,162467
0x2ba7e63fa4f30e18d71755deb4f5385b9f0b7dcf,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,4848254
0xa96fc7f4468359045d355c8c6eb79c03aac9fb22,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,659083
0x1bd6aab7dcf6228d3be0c244f1d36e23daac3bae,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,404105
0xbd120e919eb05343dba68863f2f8468bd7010163,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,12376808
0x2e34723a04b9bb5938373dcfdd61410f43189246,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,758130
0xfae73e896f6e35bf60a52c4f7275381e8d0f6344,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,31649
0x0519425dd15902466e7f7fa332f7b664c5c03503,0xdac17f958d2ee523a2206206994597c13d831ec7,320632
0x297751960dad09c6d38b73538c1cce45457d796d,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2359234
0x44e836ebfef431e57442037b819b23fd29bc3b69,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,66899000
0xd6278e5eea2981b1d4ad89f3d6c44670cad6e427,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,10012464
0x3bd12e6c72b92c43bd1d2acd65f8de2e0e335133,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,17565000
0x7da66c591bfc8d99291385b8221c69ab9b3e0f0e,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,22280742
0xcdea6a23b9383a88e246975ad3f38778ee0e81fc,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,166725
0x1f3236f64cb6878f164e3a281c2a9393e19a6d00,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,101222200
0x48a5a6a01ba89cddf97d2d552923d5a11401ed19,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,360155
0xab282590375f4ce7d3ffed3a0d0e36cc5f9ff124,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,654933466
0x7d50bfead43d4fdd47a8a61f32305b2de21068bd,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,281417444319406
0xf679a24bbf27c79db5148a4908488fa01ed51625,0xc9c32cd16bf7efb85ff14e0c8603cc90f6f2ee49,6394083298607243
0xa1a234791392c42bd0c95e37e6908ae704d595bd,0xdac17f958d2ee523a2206206994597c13d831ec7,6358
0xe27bdf8c099934f425a1c604dfc9a82c3b3dd458,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,193467
0x17757b0252c84341e243ff49eef8729efa32f5de,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,10756000
0xdf29ee8f6d1b407808eb0270f5b128dc28303684,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,919766
0x0a53d9586dd052a06fca7649a02b973cc164c1b4,0xdac17f958d2ee523a2206206994597c13d831ec7,559901
0x7e946603f26b7f46fdb0d106124db35bf14fcdb8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,150306438028748
0x4ec2dcdfb3c165da62dd1367cb42fe7551524984,0xdac17f958d2ee523a2206206994597c13d831ec7,120660
0xf3e9848d5acce2f83b8078ee21f458e59ec4289a,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,8073845
0x15d6d330f374a796210efc1445f1f3ea07a0b1ef,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,555905
0xfe42972c584e442c3f0a49cb2930e55d5bf13ba7,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,11267256
0x91443af8b0b551ba45208f03d32b22029969576c,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,796481
0x144e8fe2e2052b7b6556790a06f001b56ba033b3,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,712182
0xf7cca800424e518728f88d7fc3b67ed6dfa0693c,0xdac17f958d2ee523a2206206994597c13d831ec7,182867
0x9c695f16975b57f730727f30f399d110cfc71f10,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,67796321
0x86dcc2325b1c9d6d63d59b35ebab90607ead7c6c,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,1094
0xc0fcfd732d6ed4ad1afb182a080f31e74fc0f28d,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2609808
0xcd805f0a5f1a26e3b344b31539aaf84f527bf2db,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,862294
0x70c65accb3806917e0965c08a4a7d6c72f17651a,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,16
