account,token,stem,season,amount_balance,bdv_balance
0x0000002e4f99cb1e699042699b91623b1334d2f7,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,,7973,167,1
0x001f43cd9e84d90e1ee9db192724cef073d3fb2e,0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,,6074,98625,1
0x001f43cd9e84d90e1ee9db192724cef073d3fb2e,0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,,5386,427343,1
0x002505eefcbd852a148f03ca3451811032a72f96,0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,,5399,30340076,1
0x002505eefcbd852a148f03ca3451811032a72f96,0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,,4994,11381984,1
0x002505eefcbd852a148f03ca3451811032a72f96,0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,,3169,119624063,1
0x002505eefcbd852a148f03ca3451811032a72f96,0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,,4470,10372559,1
0x002505eefcbd852a148f03ca3451811032a72f96,0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,,5901,108609774,1
0x002505eefcbd852a148f03ca3451811032a72f96,0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,,6074,461713828,1
0x002505eefcbd852a148f03ca3451811032a72f96,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,,2734,891022603,1
0x00427c81629cd592aa068b0290425261cbb8eba2,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,11685,,331214534,331214534
0x00427c81629cd592aa068b0290425261cbb8eba2,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,-32708,,1,1
0x00427c81629cd592aa068b0290425261cbb8eba2,0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,-32890,,146208339305,32765937428
0x00427c81629cd592aa068b0290425261cbb8eba2,0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,-16402,,2,1
0x00427c81629cd592aa068b0290425261cbb8eba2,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,12087,,237176319,237176319
0x0063886d458cc0790a170deba645a0bccc7f44d9,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,,5624,10645283012,2
0x0063886d458cc0790a170deba645a0bccc7f44d9,0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,,5766,181334111,1
0x0063886d458cc0790a170deba645a0bccc7f44d9,0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,,5861,108572381,1
0x0063886d458cc0790a170deba645a0bccc7f44d9,0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,,5933,151306387,1
0x0063886d458cc0790a170deba645a0bccc7f44d9,0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,,6074,2101063760,1
0x006b4b47c7f404335c87e85355e217305f97e789,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,,10130,114569949,1
0x006b4b47c7f404335c87e85355e217305f97e789,0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,,6074,1759081173,3
0x006b4b47c7f404335c87e85355e217305f97e789,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,,5881,9798069112,3
0x0086e622ac7afa3e5502dc895fd0eab8b3a78d97,0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,,6074,1046881438,3
0x0086e622ac7afa3e5502dc895fd0eab8b3a78d97,0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,,3332,1144855890,3
0x0086e622ac7afa3e5502dc895fd0eab8b3a78d97,0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,,1595,1687898985,3
0x0086e622ac7afa3e5502dc895fd0eab8b3a78d97,0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,,3165,62005,3
0x0086e622ac7afa3e5502dc895fd0eab8b3a78d97,0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,,5622,125704477,3
0x0086e622ac7afa3e5502dc895fd0eab8b3a78d97,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,,7094,53321844,1
0x0086e622ac7afa3e5502dc895fd0eab8b3a78d97,0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,,5130,44909616,3
0x0086e622ac7afa3e5502dc895fd0eab8b3a78d97,0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,,3861,5206817,3
0x008829acd7ec452fc50989aa9bfa5d196baae20a,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,,6023,19046200000,1
0x008d63fab8179ee0ae2082bb57c72ed0c61f990f,0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,,6074,1494634507,1
0x008d63fab8179ee0ae2082bb57c72ed0c61f990f,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,,6038,55369927823,1
0x008d63fab8179ee0ae2082bb57c72ed0c61f990f,0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,,6049,627297561,1
0x00975ae9c986df066c7bbda496103b4cc44b26c3,0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,,6074,832063255,1
0x00975ae9c986df066c7bbda496103b4cc44b26c3,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,,6023,14521654261,1
0x00aaea7b4dc89e4a4facda32da496ba5d8e1216d,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,-32864,,7523066025,1632713857
0x00aaea7b4dc89e4a4facda32da496ba5d8e1216d,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,-33012,,8913527932,1934482633
0x00aaea7b4dc89e4a4facda32da496ba5d8e1216d,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,-16206,,93433698,93433698
0x00aaea7b4dc89e4a4facda32da496ba5d8e1216d,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,10617,,189511237,189511237
0x00aaea7b4dc89e4a4facda32da496ba5d8e1216d,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,-33056,,4399671372,954850641
0x00aaea7b4dc89e4a4facda32da496ba5d8e1216d,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,-32604,,1840080769,399348531
0x00aaea7b4dc89e4a4facda32da496ba5d8e1216d,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,-33808,,10338210628,2243678269
0x00aaea7b4dc89e4a4facda32da496ba5d8e1216d,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,-32836,,5767917161,1251797903
0x00aaea7b4dc89e4a4facda32da496ba5d8e1216d,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,-32532,,208538907,45258723
0x00aaea7b4dc89e4a4facda32da496ba5d8e1216d,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,-32560,,10515187801,2282087221
0x00aaea7b4dc89e4a4facda32da496ba5d8e1216d,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,-36336,,9910692242,2150894929
0x00c459905bc314e03af933020dea4644be06aad9,0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,,6066,20655224,1
0x00c459905bc314e03af933020dea4644be06aad9,0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,,6074,21571969,1
0x00c459905bc314e03af933020dea4644be06aad9,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,,6048,1003920505,1
